"","Fold Change","log2(FC)"
"102",2795.2,11.449
"67",1552.4,10.6
"129",0.00083131,-10.232
"27",806.74,9.656
"6",693.55,9.4379
"61",0.0016728,-9.2235
"47",487.68,8.9298
"113",483.47,8.9173
"87",0.007549,-7.0495
"140",69.838,6.1259
"26",0.020185,-5.6306
"43",13.719,3.7781
"84",10.834,3.4375
"114",8.4381,3.0769
"8",0.16288,-2.6181
"37",0.19175,-2.3827
"125",0.19681,-2.3451
"80",0.19993,-2.3224
"126",0.24549,-2.0263
"92",0.256,-1.9658
"119",3.5628,1.833
"104",0.28726,-1.7996
"10",0.29026,-1.7846
"9",0.29863,-1.7436
"2",3.0579,1.6126
"99",0.32751,-1.6104
"121",0.33697,-1.5693
"22",0.34264,-1.5452
"144",2.8082,1.4897
"79",2.663,1.4131
"45",0.38258,-1.3862
"98",0.38901,-1.3621
"55",2.5414,1.3456
"51",2.5223,1.3347
"124",0.43249,-1.2093
"101",2.2588,1.1755
"96",2.2542,1.1726
"56",2.2257,1.1542
"115",0.44951,-1.1536
"19",0.44975,-1.1528
"136",0.4622,-1.1134
"58",0.46701,-1.0985
"29",2.1179,1.0826
"46",2.0458,1.0327
"66",0.5017,-0.99511
"83",1.9713,0.97913
"65",0.5143,-0.95931
"60",1.9421,0.95764
"105",0.51752,-0.9503
"77",1.9253,0.94508
"90",1.8902,0.91857
"95",0.5338,-0.90563
"57",1.8643,0.89861
"88",1.8452,0.88377
"62",0.54474,-0.87635
"134",0.54752,-0.86901
"143",1.8085,0.85478
"50",0.56986,-0.81133
"20",0.57314,-0.80303
"34",1.7355,0.79537
"23",1.6968,0.76283
"74",0.6048,-0.72546
"106",0.61621,-0.69852
"89",0.61958,-0.69065
"71",0.62028,-0.689
"100",1.6105,0.68754
"112",1.6019,0.6798
"85",1.5684,0.6493
"42",0.63919,-0.64569
"108",0.65291,-0.61504
"69",0.65302,-0.61479
"131",0.65913,-0.60136
"110",1.5113,0.5958
"4",0.6626,-0.5938
"70",1.464,0.54992
"107",1.4516,0.53762
"130",0.68972,-0.53592
"93",0.69328,-0.52848
"5",1.3965,0.48183
"97",0.72266,-0.46862
"13",0.73309,-0.44794
"3",0.73452,-0.44512
"1",1.3451,0.42773
"145",1.3389,0.42108
"30",0.75206,-0.41108
"116",0.7527,-0.40986
"31",1.3117,0.39141
"40",1.3109,0.39051
"109",1.2989,0.37733
"41",1.2949,0.37282
"36",0.77626,-0.36539
"39",1.2882,0.36536
"117",0.7772,-0.36364
"120",0.77919,-0.35996
"17",1.2826,0.3591
"91",0.78311,-0.35271
"82",1.257,0.33
"122",0.80621,-0.31076
"138",0.80736,-0.30872
"141",1.2267,0.2948
"33",0.81603,-0.29331
"86",0.81923,-0.28765
"72",1.2178,0.28427
"21",0.8229,-0.28121
"73",0.82799,-0.27232
"68",0.82967,-0.26939
"24",0.83059,-0.26779
"54",1.2013,0.26457
"76",1.1979,0.2605
"103",0.84459,-0.24368
"127",1.1802,0.23901
"14",0.84854,-0.23694
"81",1.175,0.23271
"139",1.1657,0.22117
"16",1.1584,0.2121
"111",0.87019,-0.20059
"25",0.87221,-0.19725
"15",0.89015,-0.16788
"48",0.89085,-0.16675
"142",1.115,0.15709
"59",1.1053,0.1445
"28",1.1049,0.14388
"32",1.1012,0.13901
"135",0.90971,-0.13652
"63",1.0981,0.13497
"128",1.098,0.13494
"78",1.0823,0.11409
"18",1.0796,0.11045
"64",0.92724,-0.10898
"123",0.93343,-0.099388
"137",1.0629,0.087995
"132",0.95419,-0.06765
"94",1.0332,0.047056
"35",0.97344,-0.038834
"44",1.0233,0.033223
"38",1.0222,0.031647
"133",1.0097,0.013951
"7",1.001,0.0014355
