"","FC","log2(FC)","p.ajusted","-log10(p)"
"101",2795.2,11.449,1,0
"67",1552.4,10.6,1,0
"127",0.00083131,-10.232,1,0
"27",806.74,9.656,1,0
"6",693.55,9.4379,1,0
"61",0.0016728,-9.2235,1,0
"47",487.68,8.9298,1,0
"112",483.47,8.9173,1,0
"86",0.007549,-7.0495,1,0
"138",69.838,6.1259,1,0
"26",0.020185,-5.6306,1,0
"43",13.719,3.7781,1,0
"83",10.834,3.4375,1,0
"113",8.4381,3.0769,1,0
"8",0.16288,-2.6181,1,0
"37",0.19175,-2.3827,1,0
"123",0.19681,-2.3451,1,0
"79",0.19993,-2.3224,1,0
"124",0.24549,-2.0263,1,0
"91",0.256,-1.9658,1,0
"117",3.5628,1.833,1,0
"103",0.28726,-1.7996,1,0
"10",0.29026,-1.7846,1,0
"9",0.29863,-1.7436,1,0
"2",3.0579,1.6126,1,0
"145",3.0579,1.6126,1,0
"98",0.32751,-1.6104,1,0
"119",0.33697,-1.5693,1,0
"22",0.34264,-1.5452,1,0
"142",2.8082,1.4897,1,0
"78",2.663,1.4131,1,0
"45",0.38258,-1.3862,1,0
"97",0.38901,-1.3621,1,0
"55",2.5414,1.3456,1,0
"51",2.5223,1.3347,1,0
"122",0.43249,-1.2093,1,0
"100",2.2588,1.1755,1,0
"95",2.2542,1.1726,1,0
"56",2.2257,1.1542,1,0
"114",0.44951,-1.1536,1,0
"19",0.44975,-1.1528,1,0
"134",0.4622,-1.1134,1,0
"58",0.46701,-1.0985,1,0
"29",2.1179,1.0826,1,0
"46",2.0458,1.0327,1,0
"66",0.5017,-0.99511,1,0
"82",1.9713,0.97913,1,0
"65",0.5143,-0.95931,1,0
"60",1.9421,0.95764,1,0
"104",0.51752,-0.9503,1,0
"76",1.9253,0.94508,1,0
"89",1.8902,0.91857,1,0
"94",0.5338,-0.90563,1,0
"57",1.8643,0.89861,1,0
"87",1.8452,0.88377,1,0
"62",0.54474,-0.87635,1,0
"132",0.54752,-0.86901,1,0
"141",1.8085,0.85478,1,0
"50",0.56986,-0.81133,1,0
"20",0.57314,-0.80303,1,0
"34",1.7355,0.79537,1,0
"23",1.6968,0.76283,1,0
"74",0.6048,-0.72546,1,0
"105",0.61621,-0.69852,1,0
"88",0.61958,-0.69065,1,0
"71",0.62028,-0.689,1,0
"99",1.6105,0.68754,1,0
"111",1.6019,0.6798,1,0
"84",1.5684,0.6493,1,0
"42",0.63919,-0.64569,1,0
"107",0.65291,-0.61504,1,0
"69",0.65302,-0.61479,1,0
"129",0.65913,-0.60136,1,0
"109",1.5113,0.5958,1,0
"4",0.6626,-0.5938,1,0
"70",1.464,0.54992,1,0
"106",1.4516,0.53762,1,0
"128",0.68972,-0.53592,1,0
"92",0.69328,-0.52848,1,0
"5",1.3965,0.48183,1,0
"96",0.72266,-0.46862,1,0
"13",0.73309,-0.44794,1,0
"3",0.73452,-0.44512,1,0
"1",1.3451,0.42773,1,0
"144",1.3451,0.42773,1,0
"143",1.3389,0.42108,1,0
"30",0.75206,-0.41108,1,0
"115",0.7527,-0.40986,1,0
"31",1.3117,0.39141,1,0
"40",1.3109,0.39051,1,0
"108",1.2989,0.37733,1,0
"41",1.2949,0.37282,1,0
"36",0.77626,-0.36539,1,0
"39",1.2882,0.36536,1,0
"116",0.7772,-0.36364,1,0
"118",0.77919,-0.35996,1,0
"17",1.2826,0.3591,1,0
"90",0.78311,-0.35271,1,0
"81",1.257,0.33,1,0
"120",0.80621,-0.31076,1,0
"136",0.80736,-0.30872,1,0
"139",1.2267,0.2948,1,0
"33",0.81603,-0.29331,1,0
"85",0.81923,-0.28765,1,0
"72",1.2178,0.28427,1,0
"21",0.8229,-0.28121,1,0
"73",0.82799,-0.27232,1,0
"68",0.82967,-0.26939,1,0
"24",0.83059,-0.26779,1,0
"54",1.2013,0.26457,1,0
"75",1.1979,0.2605,1,0
"102",0.84459,-0.24368,1,0
"125",1.1802,0.23901,1,0
"14",0.84854,-0.23694,1,0
"80",1.175,0.23271,1,0
"137",1.1657,0.22117,1,0
"16",1.1584,0.2121,1,0
"110",0.87019,-0.20059,1,0
"25",0.87221,-0.19725,1,0
"15",0.89015,-0.16788,1,0
"48",0.89085,-0.16675,1,0
"140",1.115,0.15709,1,0
"59",1.1053,0.1445,1,0
"28",1.1049,0.14388,1,0
"32",1.1012,0.13901,1,0
"133",0.90971,-0.13652,1,0
"63",1.0981,0.13497,1,0
"126",1.098,0.13494,1,0
"77",1.0823,0.11409,1,0
"18",1.0796,0.11045,1,0
"64",0.92724,-0.10898,1,0
"121",0.93343,-0.099388,1,0
"135",1.0629,0.087995,1,0
"130",0.95419,-0.06765,1,0
"93",1.0332,0.047056,1,0
"35",0.97344,-0.038834,1,0
"44",1.0233,0.033223,1,0
"38",1.0222,0.031647,1,0
"131",1.0097,0.013951,1,0
"7",1.001,0.0014355,1,0
