"","V","p.value","-log10(p)","FDR"
"116",11,0.028127,1.5509,1
"79",51,0.049883,1.302,1
"66",15,0.082984,1.081,1
"102",49,0.082984,1.081,1
"45",16,0.1049,0.97924,1
"58",17,0.13038,0.88479,1
"26",45,0.19487,0.71025,1
"39",45,0.19487,0.71025,1
"121",19,0.19487,0.71025,1
"135",19,0.19487,0.71025,1
"29",44,0.2345,0.62986,1
"87",20,0.2345,0.62986,1
"136",20,0.2345,0.62986,1
"137",20,0.2345,0.62986,1
"22",21,0.27863,0.55497,1
"99",21,0.27863,0.55497,1
"145",43,0.27863,0.55497,1
"4",22,0.32821,0.48385,1
"98",42,0.32821,0.48385,1
"100",42,0.32821,0.48385,1
"101",42,0.32821,0.48385,1
"108",22,0.32821,0.48385,1
"9",23,0.38228,0.41761,1
"19",23,0.38228,0.41761,1
"65",23,0.38228,0.41761,1
"84",41,0.38228,0.41761,1
"95",23,0.38228,0.41761,1
"104",23,0.38228,0.41761,1
"110",41,0.38228,0.41761,1
"117",23,0.38228,0.41761,1
"119",23,0.38228,0.41761,1
"120",23,0.38228,0.41761,1
"130",23,0.38228,0.41761,1
"131",23,0.38228,0.41761,1
"23",40,0.4418,0.35477,1
"33",24,0.4418,0.35477,1
"56",40,0.4418,0.35477,1
"89",24,0.4418,0.35477,1
"93",40,0.4418,0.35477,1
"107",40,0.4418,0.35477,1
"115",24,0.4418,0.35477,1
"124",24,0.4418,0.35477,1
"134",24,0.4418,0.35477,1
"5",39,0.50536,0.2964,1
"10",25,0.50536,0.2964,1
"20",25,0.50536,0.2964,1
"47",25,0.50536,0.2964,1
"50",25,0.50536,0.2964,1
"51",39,0.50536,0.2964,1
"94",25,0.50536,0.2964,1
"97",25,0.50536,0.2964,1
"126",25,0.50536,0.2964,1
"144",39,0.50536,0.2964,1
"30",26,0.57374,0.24129,1
"38",26,0.57374,0.24129,1
"82",38,0.57374,0.24129,1
"118",38,0.57374,0.24129,1
"1",37,0.64538,0.19019,1
"2",37,0.64538,0.19019,1
"17",37,0.64538,0.19019,1
"31",37,0.64538,0.19019,1
"34",37,0.64538,0.19019,1
"57",27,0.64538,0.19019,1
"61",27,0.64538,0.19019,1
"62",27,0.64538,0.19019,1
"63",37,0.64538,0.19019,1
"67",37,0.64538,0.19019,1
"68",27,0.64538,0.19019,1
"70",27,0.64538,0.19019,1
"74",27,0.64538,0.19019,1
"81",37,0.64538,0.19019,1
"90",37,0.64538,0.19019,1
"92",27,0.64538,0.19019,1
"109",37,0.64538,0.19019,1
"13",28,0.7209,0.14212,1
"21",28,0.7209,0.14212,1
"41",36,0.7209,0.14212,1
"42",28,0.7209,0.14212,1
"69",28,0.7209,0.14212,1
"71",28,0.7209,0.14212,1
"72",36,0.7209,0.14212,1
"80",28,0.7209,0.14212,1
"88",36,0.7209,0.14212,1
"111",28,0.7209,0.14212,1
"114",28,0.7209,0.14212,1
"138",28,0.7209,0.14212,1
"140",36,0.7209,0.14212,1
"24",29,0.79845,0.097754,1
"36",29,0.79845,0.097754,1
"46",35,0.79845,0.097754,1
"48",29,0.79845,0.097754,1
"54",35,0.79845,0.097754,1
"59",29,0.79845,0.097754,1
"64",35,0.79845,0.097754,1
"75",35,0.79845,0.097754,1
"85",35,0.79845,0.097754,1
"91",29,0.79845,0.097754,1
"96",29,0.79845,0.097754,1
"105",29,0.79845,0.097754,1
"106",29,0.79845,0.097754,1
"139",35,0.79845,0.097754,1
"141",35,0.79845,0.097754,1
"143",29,0.79845,0.097754,1
"32",34,0.87848,0.05627,1
"40",34,0.87848,0.05627,1
"55",34,0.87848,0.05627,1
"77",30,0.87848,0.05627,1
"78",34,0.87848,0.05627,1
"86",34,0.87848,0.05627,1
"103",30,0.87848,0.05627,1
"113",30,0.87848,0.05627,1
"125",30,0.87848,0.05627,1
"8",31,0.95913,0.018123,1
"15",31,0.95913,0.018123,1
"18",31,0.95913,0.018123,1
"25",31,0.95913,0.018123,1
"28",31,0.95913,0.018123,1
"73",31,0.95913,0.018123,1
"76",31,0.95913,0.018123,1
"123",31,0.95913,0.018123,1
"129",31,0.95913,0.018123,1
"3",33,0.95913,0.018123,1
"16",33,0.95913,0.018123,1
"27",33,0.95913,0.018123,1
"43",33,0.95913,0.018123,1
"44",33,0.95913,0.018123,1
"60",33,0.95913,0.018123,1
"112",33,0.95913,0.018123,1
"127",33,0.95913,0.018123,1
"128",33,0.95913,0.018123,1
"132",33,0.95913,0.018123,1
"142",33,0.95913,0.018123,1
"6",32,1,0,1
"7",32,1,0,1
"14",32,1,0,1
"35",32,1,0,1
"37",32,1,0,1
"83",32,1,0,1
"122",32,1,0,1
"133",32,1,0,1
